Date;close;open;high;low;
27.11.2018;25;26,3;26,79;24,22;
26.11.2018;26,3;24,7;26,3;24,85;
23.11.2018;24,7;24,3;24,8;24,64;
22.11.2018;24,3;24;24,47;24,47;
21.11.2018;24;24;24,5;23,15;
20.11.2018;24;24,5;24,05;24;
19.11.2018;24,5;24,5;24,15;24,05;
16.11.2018;24,5;24,5;24,15;24,15;
15.11.2018;24,5;24,5;24,15;24,15;
14.11.2018;24,5;24,5;24,15;24,15;
13.11.2018;24,5;24;24,82;24;
12.11.2018;24;23;23,99;23,1;
09.11.2018;23;24;24,25;22,42;
08.11.2018;24;24;24,25;23,2;
07.11.2018;24;24;24,51;23,2;
06.11.2018;24;21,8;24,41;22,5;
05.11.2018;21,8;21;22;21,48;
01.11.2018;21;21,5;21,55;20;
31.10.2018;21,5;21,5;21,5;21,1;
30.10.2018;21,5;21,5;21,1;21,1;
29.10.2018;21,5;21,5;21,2;21,2;
26.10.2018;21,5;22;22,22;21;
25.10.2018;22;22,5;20;20;
24.10.2018;22,5;22,5;22,4;22,02;
22.10.2018;22,5;22,5;22,78;22,1;
12.10.2018;22,5;22,5;22,1;22,02;
11.10.2018;22,5;23;22,75;22;
10.10.2018;24;25;24,1;24;
08.10.2018;25;24,7;25,29;24,13;
05.10.2018;24,7;24,7;24,3;24,3;
04.10.2018;24,7;25;24,3;24,3;
03.10.2018;25;25;24,3;24,3;
02.10.2018;25;25;24,3;24,3;
01.10.2018;25;25;24,55;24,3;
27.09.2018;25;25;24,55;24,55;
25.09.2018;25,5;25;25,16;25,1;
24.09.2018;25;26;25,76;24,3;
21.09.2018;26;25,5;27;26;
20.09.2018;25,5;26,5;25,9;24,6;
19.09.2018;25,8;25,5;26,52;25;
18.09.2018;25,5;25,5;25,9;25,1;
17.09.2018;25,5;25,5;26;25;
14.09.2018;25,5;26;26;25;
13.09.2018;26;25;26;24,9;
12.09.2018;25;25,5;25,98;24,13;
11.09.2018;24,5;24,5;24,2;24,1;
10.09.2018;24,5;24,5;24,45;24,05;
07.09.2018;24,5;23,8;24,4;23,4;
06.09.2018;23,8;23,8;24,4;23,4;
05.09.2018;23,8;24;24,4;23,4;
04.09.2018;24;24;24,4;23,5;
03.09.2018;24;24;23,5;23,5;
31.08.2018;24;24;24,4;24,4;
30.08.2018;24;24;23,5;23,5;
29.08.2018;24;24,5;24,7;24,7;
28.08.2018;24,5;24,5;24,2;24,2;
24.08.2018;24,5;24;23,5;23,5;
23.08.2018;24;23,5;24;23,15;
22.08.2018;23,5;23,5;24;23,8;
21.08.2018;23,5;23,7;23,85;22,2;
20.08.2018;23,7;24;24;24;
17.08.2018;24;24;23,16;23,16;
16.08.2018;24;26;26,5;23,16;
14.08.2018;24;24;24,5;24,5;
13.08.2018;24;24;24,5;24,5;
09.08.2018;24;24;23,15;23,15;
07.08.2018;24;24;24,1;24,1;
06.08.2018;24;24;24,1;24,1;
02.08.2018;24;24;24,1;24,1;
01.08.2018;24;24;23;23;
30.07.2018;24,5;24,5;24,68;24,2;
27.07.2018;24,5;24,5;24,7;24,7;
26.07.2018;24,5;24,5;24,9;24,1;
25.07.2018;24,5;24,5;25;24;
24.07.2018;24,5;24,5;24,78;24,78;
23.07.2018;24,5;24,5;24,78;24,1;
19.07.2018;24,5;24,5;24,6;24,1;
17.07.2018;24,5;24,5;25;25;
16.07.2018;24,5;24,5;24,7;24,5;
12.07.2018;24,5;23,8;24,8;24,17;
11.07.2018;23,8;23,5;23,9;23,9;
10.07.2018;23,5;23,3;23,9;23;
09.07.2018;23,3;22,7;26,26;22,56;
06.07.2018;22,7;22,5;22,95;22,5;
05.07.2018;22,5;22,5;22,9;22,8;
04.07.2018;22,5;22,8;22,9;22;
03.07.2018;22,8;23,3;22,74;22,74;
28.06.2018;23,3;23,5;23,1;23,1;
27.06.2018;23,5;23,1;23,82;22,47;
26.06.2018;23,1;23,1;23,2;22,47;
25.06.2018;23,1;23;23,68;22,47;
22.06.2018;21,6;21,6;22;22;
21.06.2018;21,6;21,6;22,02;21,2;
20.06.2018;21,8;22,3;22,54;21,09;
19.06.2018;22,3;22,2;22,5;21,5;
15.06.2018;22,2;22,2;21,92;21,92;
13.06.2018;22,2;21,6;22,6;21,6;
12.06.2018;21,6;21,5;22;21,6;
11.06.2018;21,5;22,9;22;21,26;
08.06.2018;22,9;22,5;23,6;22,25;
07.06.2018;22,5;23,5;24,6;21,5;
06.06.2018;25;25;24,06;24;
05.06.2018;25;25;25,5;22,5;
04.06.2018;25;24,5;25,4;25;
01.06.2018;24,5;24,5;25;25;
31.05.2018;24,5;25;23,86;23,86;
30.05.2018;25;25,3;24,6;24,6;
29.05.2018;25,3;25,3;24,67;24,6;
23.05.2018;25,3;25,5;24,6;24,6;
22.05.2018;25,5;25,5;25,9;25,9;
